ID;Straßenname;Schlüssel;Stadtteil;Suchgitter;Beginn_der_Straße;Ende_der_Straße;Umbenannt_in;Erloschen_am;Historisches;Bemerkungen;Beschlussdatum;Gremium;Quelle;Vormals;Erloschen;Beschlussdatum_bis
512;Glücksburger Weg;3321;Waldhof;H,62;Düppelweg;Theodor-Fliedner-Weg;;;"Taufbezirk nach norddeutschen bzw. dänischen Orten, mit Bezug zum deutsch-dänischen Krieg.
Glücksburg (dänisch: Lyksborg), Stadt im Kreis Schleswig-Flensburg, Schleswig-Holstein, an der Flensburger Förde. Herzog Johann der Jüngere von Sonderburg ließ in den Jahren 1583 bis 1587 am Platz eines abgerissenen alten Zisterzienserklosters ein Wasserschloss errichten, das 1622 zur Residenz der Herzöge von Schleswig-Holstein-Sonderburg-Glücksburg wurde. Im Zuge des deutsch-dänischen Krieges fiel Glücksburg an Preußen. Der bei dem Schloss gelegene Ort Glücksburg ist seit 1872 Ostseeheilbad und erhielt 1900 das Stadtrecht. 
Der Name geht vermutlich auf den Wahlspruch Johanns: ""Gott gebe Glück und Frieden"" zurück. Das Wasserschloss Glückburg zählt zu den bedeutendsten Schlössern Europas. Bekannt für das Ostseebad.";"Ausbau (Verlängerung) des ""Glücksburger Wegs"" durch Gemeinderatsbeschluss vom 09.06.1978";01-01-25;Gemeinderat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;01-01-25
883;Krügerstraße;8221;Rheinau;R,64;Mallaustraße;Besselstraße;;;"Taufbezirk nach Geodäten.
Johannes Heinrich Louis Krüger (1857-1923), Geodät und Kartograph. Mitglied der Akademie der Wissenschaften.
Mit Gauß entwickelte er das Gauß-Krüger Koordinatensystem, das in den meisten Ländern angewandt wird. Sein Hauptwerk: ""Konforme Abbildung des Erdellipsoids in der Ebene"".";;01-01-30;Gemeinderat;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921).;;Nein;01-01-30
2501;Grauer Weg;;Käfertal;;Kurze-Mannheimer-Straße;Auerhahnstraße;Schwalbenstraße;01-01-21;Alter Gewanname;Umbenannt laut Stadtratsbeschluss vom 21.07.1933.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives;;Ja;
523;Gontardplatz;1971;Lindenhof;O,61;Meerfeldstraße;Gontardstraße;;;Benannt nach dem Gontardschen Gut, zu dem ein Hauptbestandteil des Geländes gehörte, auf dem der Stadtteil Lindenhof erbaut ist. Das mit dem Rennershof identische Gontard'sche Gut ist nach seinem früheren Eigentümer Friedrich Willhelm Gontard benannt. Dieser erwarb das Gut 1841, verkaufte bereits 1853 den größten Teil an die evangelische Kollektur und trat den Rest des Geländes 1853 an die Firma Bassermann-Herschel ab, welche dort eine Stärkemehlfabrik errichtete. Zugleich erinnert der Straßenname an Karl Philipp Christian Gontard (1731-1791), der als Architekt Friedrichs des Großen Berlin sowie Potsdam städtebaulich prägte und in Mannheim geboren war.;Auf dem Stadtplan von 1907 (Walter, Mannheim in Vergangenheit und Gegenwart) nachweisbar.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
886;Külsheimer Straße;6055;Wallstadt;M,67;Osterburker Straße;Alemannenstraße;;;"Taufbezirk mit Städten an Main, Neckar, Tauber und Jagst
Külsheim, Stadt im Main-Tauber-Kreis, Baden-Württemberg. Die Stadt der Brunnen ist seit 1964 Garnisonsstadt.";Auf dem Stadtplan von 1940 nachweisbar, nicht im Adressbuch von 1929.;;;Straßennamenkartei des FB 62/ Stadtplan 1940, Stadtarchiv/ Adressbuch 1929, Stadtarchiv.;;Nein;
2524;Wilhelmkai;;Industriehafen;;;;;;;Industriehafen, parallel mit der Industriestraße.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives;;Nein;
525;Gorch-Fock-Straße;6611;Feudenheim;N,65;Unteres Kirchfeld;Am Sonnigen Hang;;;"Taufbezirk nach Schriftstellern.
Gorch Fock (eigtl. Johann Wilhelm Kinau) (1880-1916), niederdeutscher Schriftsteller. 
Der Autor Johann Wilhelm Kinau schrieb unter den Pseudonymen Gorch Fock, Jakob Holst und Giorgio Focco. Kinau verfasste Gedichte, Erzählungen und Geschichten, meist in plattdeutscher Sprache. 1913 erschien sein bekanntestes Werk, der hochdeutsche Roman mit plattdeutschem Dialog ""Seefahrt ist not"", in dem das Leben der Hochseefischer auf Finkenwerder in heroisierender Weise beschrieben wird. In der Seeschlacht am Skagerrak erlitt er auf seinem Kreuzer  ""Wiesbaden"" Schiffsbruch. Seine Leiche wurde Mittsommer 1916 bei Väderöbod nahe Fjällbacka (nördlich von Göteborg) an Land getrieben und auf der schwedischen Insel Stensholmen bei Kalvö zusammen mit weiteren deutschen und englischen Seeleuten bestattet.
Die spätere Einvernahme seiner Werke durch die Nationalsozialisten führte dazu, dass der Autor Gorch Fock einseitig als Kriegsverherrlicher und Wegbereiter des Nationalsozialismus missbraucht wurde.
Die ""Gorck Fock"" ist heute Segelschulschiff der deutschen Marine.";;01-01-14;Stadtrat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;01-01-14
895;Lagerstraße;741;Industriehafen;K, L/60,61;Hansastraße;Straße endet als Sackgasse;;;;"Industriehafen 4.
Die Lagerstraße wurde durch einen Gemeinderatsbeschluss vom 22.12.1981 mit der Floßmaulstraße zusammengelegt und diese in Lagerstraße umbenannt.
Die Lagerstraße ist auf dem Stadtplan von 1919 nachweisbar.";01-01-22;Gemeinderat;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921)/ Stadtplan 1919, Stadtarchiv.;Floßmarktstraße (Frühere Teilstrecke);Nein;01-01-22
2541;Werner-Nagel-Ring;;Neuhermsheim;;Groß-Gerauer-Straße;Groß-Gerauer-Straße;;;Werner Nagel (1934-1993), Feinmechaniker, Stadtrat (SPD) 1959-1972, Fraktionsvorsitzender 1970-1972, MdB 1972-1990, stellvertretender Kreisvorsitzender der SPD 1968-1972, Betriebsrat ab 1955, Gesamtbetriebsratsvorsitzender und stellvertretender Aufsichtsratsvorsitzender bei Motorenwerke Mannheim ab 1972.;Benennung laut Gemeinderatsbeschluss vom 27.11.2007;01-01-18;Gemeinderat;;Planstraße;;
549;Groß-Gerauer Straße;2625;Sandhofen;F,59/60;Frankenthaler Straße [keine Durchfahrt];Ausgasse;;;"Groß-Gerau, Kreisstadt im Regierungsbezirk Darmstadt, Hessen, im nördlichen Hessischen Ried. Das von römischen Truppen Mitte des 1. Jahrhunderts n. Chr. errichtete Kastell wurde erstmals 910 als ""geraha marca"" urkundlich erwähnt. Groß-Gerau erhielt 1398 das Stadtrecht. 1478 fiel die Stadt an Hessen-Darmstadt.";;01-01-22;Gemeinderat;Straßennamenkartei FB 62 / Ortschronik Groß-Gerau;;Nein;01-01-22
898;Lameygarten;;Innenstadt;N,61;R 7;Friedrichsring;;;"August Lamey (1816-1896), Politiker und Jurist. 
Lamey war Professor an der Universität Freiburg (1856-1860), Präsident des badischen Ministeriums des Innerns (1860-1866) sowie Mitglied des Deutschen Reichstags. 1848/52, 1859-70 und 1875-92 gehörte Lamey der Zweiten Kammer der Badischen Landstände an. 
Während seiner Amtszeit als Innenminister führte er eine liberale Reformpolitik durch. Zu dieser gehörte die Amnestie der Revolutionäre von 1849, Gewerbefreiheit, Gleichberechtigung der Juden und eine Verwaltungsreform.
Für seine liberale Reformpolitik in Baden wurde ihm die Ehrenbürgerschaft der Stadt Mannheim verliehen. Ein Lamey-Denkmal stand bis 1935 am Friedrichsring.";Auf dem Stadtplan von 1919 nachweisbar.;;;Straßennamenkartei des FB 62/ Stadtplan 1919, Stadtarchiv.;;Nein;
2546;Julius-Hatry-Straße;;Lindenhof;P 61;Landteilstraße;Windeckstraße;;;"Julius Hatry (1906-2000), Flugzeug-Ingenieur, Kameramann, Filmemacher, Theaterregisseur. Konstruierte  das erste Raketenflugzeug.
Hatry war Mitglied des Mannheimer Fliegerclubs. 1927 bestand er sein Abitur und auch die Segelflieger-C-Prüfung. Anschließend studierte er an der TH München und arbeitete in Rossitten/Ostpreußen als Fluglehrer. Dort konstruierte er auch seine ersten großen Flugzeugmodelle. 1927/1928 beteiligte sich Hatry an der Konstruktion der Mü3 ""Kakadu"", dem größten damaligen Segelflugzeug. Im Jahre 1928 nahm Hatry mit dem Doppelsitzer Mannheim zum ersten Mal selbst an einem Rhön-Wettbewerb teil. Er entwickelte  ein Wasserflugzeug, mit dem er beim ""Preisfliegen Rossitten 1928/1929"" ausgezeichnet wurde. Im Juni 1929 begann Hatry mit den Arbeiten am Raketenflugzeug RAK 1. Finanzielle Unterstützung erhielt er dabei durch den Industriellen Fritz von Opel. Am 10.9.1929 flog dieser den von Hatry entwickelten von einer Rakete angetriebenen Flugkörper. 1935 war Hatry angesichts des Nationalsozialismus gezwungen seine Forschungen einzustellen. Er fasste nun im Filmgeschäft Fuß, zu Beginn als Darsteller, später als Kameramann, Drehbuchautor und Regieassistent. Er drehte in den 1920-er Jahren Filme mit Hannes Schneider, Luis Trenker und Leni Riefenstahl. 1943-1945 war er Produktionsleiter und Regisseur für die Mars-Filme und drehte Lehrfilme für die Luftwaffe. Nach dem Zweiten Weltkrieg drehte er Dokumentarfilme, er übersetzte Schriftsteller und synchronisierte französische Filme. Nachdem sein Ton-Bild-Studio 1953 Konkurs melden musste, übernahm er die Immobilenfirma seines verstorbenen Vaters und war als Innenarchitekt tätig. 1982 trat Hatry der Deutschen Gesellschaft für Luft- und Raumfahrt (DGLR) bei. Von 1983 bis zu seinem Tod war er Leiter der Bezirksgruppe Nordbaden-Pfalz.
Ehrungen: 1992 verlieh die DGLR Julius Hatry den Status eines ""Korrespondierenden Mitglieds"" (Honorary Fellow). Im russischen Kaluga wurde ihm die Ziolkowsky-Ehrenmedaille verliehen. Im Landesmuseum für Technik und Arbeit Mannheim steht ein Nachbau der RAK 1.";;01-01-11;Gemeinderat;;Planstraße;;
562;Gutenbergstraße;1275;Wohlgelegen;M,63;Käfertaler Straße;Dudenstraße;;;"Taufbezirk mit Buchdruckern und Verlegern.
Johannes Gutenberg (um 1397 - 1468), Buchdrucker. Gutenberg gilt als Erfinder des Buchdrucks mit beweglichen Metalllettern.1444 in Straßburg nachweisbar, 1448 in Mainz bezeugt, seit Anfang 1450 war J.Fust sein Teilhaber. Gutenberg muss um 1450 die Technik der Herstellung völlig gleicher, auswechselbarer Metalltypen mit Hilfe geschnittener Stahlstempel, Kupfermatrizen und des Handgießinstruments zumindest im Prinzip beherrscht haben, da er mehrere Typen besaß. Die 42-zeilige Bibel (»Gutenbergbibel«; in 48 Exemplaren erhalten) ist das Haupterzeugnis der gutenberg-fustschen Gemeinschaftsdruckerei; sie war spätestens im Frühsommer 1456 vollendet.  Zwischen Fust und Gutenberg kam es zum Prozess, und anscheinend ist Fust das Druckgerät mitsamt einem Teil der Typen zugesprochen worden. 1458 war Gutenberg zahlungsunfähig und kam wegen Straßburger Zinsschulden in die Acht. 1465 wurde Gutenberg zum »Hofmann« Erzbischof Adolfs von Nassau ernannt. Mainz, dessen Universität den Namen Gutenbergs trägt, ist seit 1900 Sitz des Gutenberg-Museums und seit 1901 Sitz der Gutenberg-Gesellschaft.";"Vormalige Lage der ""Gutenbergstraße"": Oststadt , ""Friedrichsring"" - ""Otto Beck Straße""; Benennung 1900 anlässich der 500. Wiederkehr des Geburtsjahres Gutenbergs.";01-01-28;Gemeinderat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921) / Straßenbenennung Bd. 1 FB 62;Heinrich-Caro-Straße;Nein;01-01-28
910;Langstraße;371;Neckarstadt;L/M,61;Am Meßplatz;Stockhornstraße;;;Im Gegensatz zu den von ihr durchgeschnittenen Querstraßen.;Am 28.12.1876 und 30.06.1898 wurde der Ausbau der Langstraße vom Bürgerausschuss beschlossen.;;Bürgerausschuss;Mayher/Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921).;;Nein;
2563;Anna-Maria-von-Schrader-Weg;8443;Neckarstadt-Ost/Wohlgelegen;L, 63;Aberlering;Aberlering;;;"Taufbezirk nach Mannheimer Mäzene.
Über Anna Maria von Schrader geb. Leib ist nur sehr wenig bekannt. Sie wurde am 03.07.1893 in Hardenburg (heute Bad Dürkheim) geboren. 1963 zog sie von Bonn nach Mannheim. Sie war zu diesem Zeitpunkt verwitwet. Sie starb am 27.12.1989 im Alter von 96 Jahren und hinterließ der Stadt  Mannheim ihr Vermögen in Höhe von rund  9. Mio. DM. Das Testament hatte sie bereits 1971 verfasst. Nach längeren gerichtlichen Auseinandersetzungen mit im Testament übergangenen Familienangehörigen konnte die Stadt das Erbe 1993 antreten. 
Als Stiftungszweck werden in ihrem Testament Altenhilfe und notleidende Tiere genannt.";Auf dem Gelände der ehemaligen Ludwig-Frank-Kaserne.;01-01-12;Gemeinderat;Amtsblatt der Stadt Mannheim vom 21.10.2010;;;
574;Hainbuchenhof;3775;Gartenstadt;G,63;Am Herrschaftswald;Am Herrschaftswald;;;Taufgebiet nach Baumnamen;"Ringstraße am Käfertaler Wald
Auf dem Stadtplan von 1955 nachweisbar.";;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
912;Lassallestraße;6891;Almenhof;Q,62;Lassallenplatz;Karl- Marx- Straße;;;"Taufbezirk mit Personen der Revolution von 1948/49.
Ferdinand Lassalle (1825-1864), Politiker und Publizist.  
Lassalle war Gründer und Präsident des Allgemeinen Deutschen Arbeitervereins (ADAV), der 1863 gegründet  wurde und aus dem die SPD hervorging. Das politsche Programm des Allgemeinen Deutschen Arbeitervereins ging vom ehernen Lohngesetz aus; danach forderten die Arbeiter eine Beteiligung an der Produktion und ein allgemeines und gleiches Wahlrecht ein. Im Gegensatz zu Marx vertrat Lasalle ein sozial und demokratisch ausgerichtetes Königreich. Nach seiner Rechtsphilosophie sei ein gleiches Recht für alle erst in einem künftigen demokratischen Staat mit seiner solidarischen Gesellschaft von Gleichen zu erreichen.";;01-01-19;Gemeinderat;Straßennamenkartei des FB 62/ Straßenbenennung Bd. 1, FB 62.;Tannenbergstraße;Nein;01-01-19
2573;Konrad-Zuse-Ring;;Neuostheim;O, 64;Harrlachweg;Harrlachweg;;;"Zuse (1910-1995) ist Schöpfer des ersten vollautomatischen, programm-gesteuerten und frei programmierbaren, in binärer Gleitpunktrechnung arbeitenden Rechenanlage. Sie war 1941 betriebsfertig.
Konrad Zuse geboren am 22.6.1910 in Berlin, aufgewachsen in Braunsberg / Ostpreußen, legte 1928 am Realgymnasium in Hoyerswerda sein Abitur ab. Er studierte dann bis 1934 an der Technischen Hochschule Charlottenburg, kündigte 1935 seine aussichtsreiche Stelle bei den Henschel-Flugzeugwerken in Berlin und teilte seinen verblüfften Eltern mit, daß er das Wohnzimmer benötige, um eine vollautomatische Rechenmaschine zu bauen. Die Ursache für seinen spontanen Beschluß war die Vision, die stupide Arbeit des Rechnens durch eine vollautomatische Maschine erledigen zu lassen. Wie auch andere Pioniere der Entwicklung von automatischen Rechenmaschinen war Konrad Zuse über die stupiden Rechnungen (hier im Bauingenieurwesen) schockiert. Humorvoll pflegte er oft zu sagen: Ich war zu faul zum Rechnen.";Ringstraße. Ehemaliges Autohofgelände am Harrlachweg;01-01-27;Gemeinderat;Amtsblatt der Stadt Mannheim vom 05.08.2004;;;
584;Hanauer Platz;3277;Waldhof;J,62;Hanauer Straße;Alte Frankfurter Straße;;;"Taufbezirk nach hessischen Städten.
Hanau, Kreisstadt des Main-Kinzig-Kreises, Hessen, an der Mündung der Kinzig in den Main. Hanau entstand um eine mainzerische Inselburg und war seit 1168 im Besitz des Adelgeschlechts von Dorfelden. Im Jahre 1303 erhielt der Ort das Stadtrecht. 1597 angesiedelte niederländische und wallonische Facharbeiter ermöglichten den wirtschaftlichen Aufstieg Hanaus. Im gleichen Jahr wurde auch die schachbrettartig angelegete Neustadt gegründet. Im 17. Jh. fiel  Hanau an die Landgrafen von Hessen-Kassel. 
Der Stadtname bezeichnete ursprünglich die mit Wald bestandene Flußinsel.";Im Adressbuch von 1929 nachweisbar;;;Straßennamenkartei FB 62;;Nein;
930;Lerchenstraße;3371;Waldhof;K,62;Akazienstraße;Drosselstraße;;;;Im Adressbuch von 1929 nachweisbar.;;;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921)/ Adressbuch 1929, Stadtarchiv.;;Nein;
2580;Leoniweg;8381;Neckarstadt-Ost/Wohlgelegen;L, 63;Aberlering;[Sackgasse];;;"Taufbezirk nach Mannheimer Mäzene.
Carl Leoni (1832-1902), Zigarrenfabrikant, und seine Ehefrau Therese Leoni geb. Zeidels (1841-1904).
Die Familie Leoni stiftete zwischen 1898 und 1904 insgesamt 100.000 Mark mit dem Zweck, für den Kaufmannsberuf begabte Schüler der mitteleren Handelsschule, die keine Mittel für eine höhere kaufmännsiche Ausbildung haben, diese zu ermöglichen.";Auf dem Gelände der ehemaligen Ludwig-Frank-Kaserne.;01-01-23;Gemeinderat;Straßennamenkartei FB 62;;;
596;Hans-Schüler-Weg;6520;Feudenheim;O,66;Carolus Vocke Ring;[Sackgasse / Ortsrand];;;"Dr. phil. Hans Schüler (1897-1963), Germanist und Intendant am Mannheimer Nationaltheater. 
Nach mehreren Engagements in New York, Erfurt und Wiesbaden leitete Schüler als Intendant von 1928 bis 1932 die Königsberger Oper. Hier knüpfte er Kontakt mit dem dortigen Oberbürgermeister Goerdeler, der ihn bat in die NSDAP einzutreten, damit ""das Theater nicht in nazistische Hände fällt."" Mit dem gescheiterten Attentat vom 20.Juli 1944 wurde er zusammen mit Goerdeler verhaftet und blieb bis zum Kriegsende unter Polizeiaufsicht. Nach Stationen in Lübeck und Wiesbaden kam Schüler ans Mannheimer Nationaltheater, das er von 1951 bis 1961 als Intendant leitete. In seine Amtszeit fiel der Aufbau des Nationaltheaters. Zu seinen Inszenierungen gehörten neben den Opernklassikern Wagner, Verdi und Mozart auch Avantgarde-Werke wie Boris Blachers ""Abstrakte Oper"". Zu einem Eklat kam es 1954, als die Uraufführung von Kzantzakis ""Feuer und Sodom"" beim Mannheimer Publikum durchfiel. Nach 40-jährigem Bühnenjubiläum verließ Schüler 1962 die Bühne. 
Während seiner Zeit an der Königsberger Oper arbeitete Hans Schüler mit der Tänzerin Mary Wigmann zusammen, die er für eine Inszenierung am Nationaltheater gewinnen konnte. Siehe Mary-Wigmann-Straße.";;01-01-30;Gemeinderat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;01-01-30
933;Leutweinstraße;8081;Rheinau;V,65/66;Lüderitzstraße;Rohrhofer Straße;;;Theodor Leutwein (1849-1921), kaiserlicher Generalmajor. Leutwein war von 1893-1849 Gouverneur der Schutztruppe von Deutsch-Südwestafrika.;"Nicht im Adressbuch von 1929 nachweisbar.
Auf dem Stadtplan von 1940 nachweisbar.
In der Siedlung der Gemeinnützigen Siedlungsgesellschaft I.G. Farbenindustrie Ludwigshafen.";;;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921)/ Adressbuch 1929, Stadtarchiv/ Stadtplan 1940, Stadtarchiv.;;Nein;
1638;Wasserbett;6247;Feudenheim;N,65;Talstraße;Wilhelmstraße;;;Gewann;Im Adressbuch von 1929 als Baugelände deklariert.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921)/ Adressbuch 1929, Stadtarchiv.;;Nein;
602;Harrlachweg;4131;Neuhermsheim;O,64;Seckenheimer Landstraße;[Sackgasse];;;Gewann;;01-01-05;Stadtrat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;01-01-05
940;Lilienstraße;5044;Käfertal;K,64;Obere Riedstraße;Wormser Straße;;;;Auf dem Stadtplan von 1919 nachweisbar.;;;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921)/ Stadtplan 1919, Stadtarchiv.;;Nein;
1640;Wasserwerkstraße;5255;Käfertal;H-K,65;Ladenburger Straße;Gemarkungsgrenze;;;Das im Käfertaler Wald gelegene Wasserwerk wurde 1888 in Betrieb genommen.;Im Zuge der Eingemeindung am 1. 7. 1897 in Wasserwerkstraße umbenannt.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921) / Atlanten 1 - 18, FB62;Weiherweg;Nein;
612;Hayes-Street;5173;Käfertal;J,65;Grant Circle;Grant Circle;;;"Rutherford Birchard Hayes (1822-1893), 19. Präsident der USA. 
Während seiner Präsidentschaft 1877-1881 bemühte sich Hayes um die Aussöhnung mit den Südstaaten, veranlasste den Abzug der letzten Unionstruppen aus den südlichen Bundesstaaten und verlieh diesen wieder politische Eigenständigkeit.";Nicht auf dem Stadtplan von 1955 nachweisbar. Nachweisbar auf dem Stadtplan von 1994.;;;Straßennamenkartei FB 62;;Nein;
947;Lindenstraße;5061;Käfertal;L,64/65;Mannheimer Straße;Rebenstraße;;;;Auf dem Stadtplan von 1919 nachweisbar.;;;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921)/ Stadtplan 1919, Stadtarchiv.;;Nein;
1642;Webereistraße;2485;Sandhofen;G,60;Spinnereistraße;Niederbronner Straße;;;"Taufbezirk nach Begriffen aus der Textilindustrie.
In Anlehnung an den ehemaligen Fabrikbetrieb der Süddeutschen Juteindustrie und deren Wohnkolonie in Sandhofen.";Im Adressbuch von 1929 nachweisbar.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921)/ Adressbuch 1929, Stadtarchiv.;;Nein;
614;Hechtstraße;7365;Neckarau;R,63;Schwingstraße;Wilhelm-Wundt-Straße;;;"Taufbezirk mit Fischen.
Die Namensgebung erinnert an das ehemalige Fischereigewerbe in Neckarau.";Auf dem Stadtplan von 1955 nachweisbar, nicht im Adressbuch von 1941/42.;;;Straßennamenkartei FB 62;;Ja;
953;Löwitstraße;8222;Neckarstadt;K,61;Luzenbergstraße;Industriestraße;;;"Ottokar Löwit (1864-1945), Ingenieur.  
Als ""Vater der elektrischen Straßenbahn"" wurde unter seiner Leitung die Pferdebahn in einen elektrischen Nahverkehr modernisiert. Löwit war Direktor der Verkehrsbetriebe in Mannheim und Ludwigshafen, der Oberrheinischen Eisenbahn (OEG) und der Rhein-Haardt- Bahn, sowie Generaldirektor der Mannheimer Straßenbahn. Aufgrund seiner jüdischen Herkunft hatte er in der NS-Zeit unter Restriktionen und Schikanen zu leiden.";;01-01-20;Gemeinderat;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;01-01-20
1671;Westring;3625;Gartenstadt;H,63;Unter den Birken;Unter den Birken;;;;Im Adressbuch von 1941/42 nachweisbar, nicht im Adressbuch von 1929.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
629;Heinrich-von-Stephan-Straße;1855;Schwetzingervorstadt;O,61/62;Willy Brandt Platz;Wendeplatte]];;;"Heinrich von Stephan (1831-1897), Organisator des deutschen Postwesens.
 Heinrich von Stephan wurde 1866 mit der Verstaatlichung der Thurn-und-Taxis-Post durch den preußischen Staat betraut. Er wurde 1870 Generalpostdirektor des Norddeutschen Bundes, später Generalpostmeister des Deutschen Reichs, Staatssekretär des Reichspostamtes und Staatsmininister. Unter seiner Leitung entwickelte sich das deutsche Postwesen zu einer richtungsweisenden Verkehrsanstalt. Stephan führte 1870 die Postkarte ein, die zunächst als Feldpostkarte im deutsch-französischen Krieg 1870/71 massenhaft verwendet wurde. Er gründete 1872 das Postmuseum und 1874 den Weltpostverein. Unter seiner Leitung wurde das Landpostwesen verbessert,  Post und Telegraphie vereinigt und 1877 der Fernsprecher in Deutschland eingeführt.";;01-01-13;Gemeinderat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);Friedrichsfelder Straße;Nein;01-01-13
956;Lorscher Straße;2645;Sandhofen;F,59/60;Scharhofer Straße;Hoher Weg;;;"Taufbezirk mit benachbarten Orten in Hessen.
Lorsch, Stadt im Landkreis Bergstraße, Hessen, im Hessischen Ried. 
Das Benediktinerkloster (764 gegründet und seit 772 Reichsabtei), war eine der bedeutendsten des Mittelalters. Nach einem Brand im Jahre 1621 sind nur die Torhalle (um 774 vollendet), einst Audienzstätte ostkarolingischer Könige, ein Teil der Vorkirche (um 1150) und ein weiter Bogen der Ringmauer erhalten (UNESCO-Weltkulturerbe).";Im Adressbuch von 1929 nachweisbar. Im Adressbuch von 1926 als Baugelände deklariert.;;;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921)/ Adressbuch 1929 und 1926, Stadtarchiv.;;Nein;
1721;Zamenhofstraße;5117;Käfertal;K,64;Auf dem Sand;Auf dem Sand;;;"Ludwik Zamenhof (1859-1917), polnischer Augenarzt. 
Er erfand und entwickelte die Weltsprache Esperanto. Die künstliche Sprache war als Universal- oder Plansprache für den internationalen Gebrauch bestimmt. Die Erarbeitung des Wortschatzes erfolgt entweder durch Auswahl der Wörter aus den bekannten natürlich (historisch) gewachsenen Sprachen (naturalistisches Prinzip) oder durch Neubildung von wenigen Wortstämmen und einer großen Zahl frei verfügbarer Wortbildungssilben (schematisches Prinzip).";;01-01-29;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-29
631;Hellebardenweg;4251;Neuhermsheim;P,64;Reiterweg;Hermsheimer Straße;;;"Taufbezirk mit Begriffen aus dem Militärwesen.
Hellebarde, Hieb- und Stoßwaffe des Fußvolks im Mittelalter, etwa 2m lang, mit Stoßklinge, Beil und Reißhaken, seit dem 16.Jh. durch langen Spieß oder Pike verdrängt.";Im Adressbuch von 1941/42 nachweisbar, nicht im Adressbuch von 1929.;;;Straßennamenkartei FB 62;;Nein;
962;Ludwig-Beck-Straße;6742;Lindenhof;Q,61;Feldbergstraße;Feldbergstraße;;;"Ludwig Beck (1880-1944), Generaloberst. 
Er bekämpfte Hitlers Kriegspläne und trat während der Sudetenkrise 1938 zurück. Im 2.Weltkrieg rückte er immer stärker in das Zentrum der liberal-konservativen Widerstandsbewegung und war eine Zentralfigur bei den Vorbereitungen zum Attentat vom 20.Juli 1944. Am Tag nach dem missglückten Attentat wurde er erschossen.";;01-01-29;Gemeinderat;Straßennamenkartei des FB 62;;Nein;01-01-29
1736;Ziethenstraße;6317;Feudenheim;N,65;Talstraße;Am Aubuckel;;;"Hans Joachim von Ziethen (1699-1786), preußischer Feldmarschall. 
Der preußische Reitergeneral der Leibhusaren war ein enger Vertrauter König Friedrich II. 1730 wurde er General der neugebildeten Freikompanie der Husaren in Potsdam. Im Siebenjährigen Krieg bewährte er sich vielfach und entschied u.a. die Schlacht bei Torgau 1760.";Auf dem Stadtplan von 1919 nachweisbar.;;;Straßennamenkartei FB 62;;Nein;
